LOCAL_DATE,SPEED_MAX_GUST,TOTAL_PRECIPITATION,MIN_TEMPERATURE,MAX_TEMPERATURE,MEAN_TEMPERATURE
2010-04-18 0:00,43,0,2.5,13.6,8.1
2010-04-19 0:00,35,0,-0.5,15.6,7.6
2010-04-20 0:00,0,0,0.1,18.1,9.1
2010-04-21 0:00,0,0,-0.4,,
2010-04-22 0:00,35,0,0.3,12.5,6.4
2010-04-23 0:00,0,0,-3,16.2,6.6
2010-04-24 0:00,39,0,-0.3,16.9,8.3
2010-04-25 0:00,50,11.9,6.6,9.6,8.1
2010-04-26 0:00,52,0,2.8,18.3,10.6
2010-04-27 0:00,61,0,0.4,9.4,4.9
2010-04-28 0:00,65,0,0.7,12,6.4
2010-04-29 0:00,37,0,-2.7,17.8,7.6
2010-04-30 0:00,44,0,9.9,25.1,17.5
2010-05-01 0:00,44,0.8,10.2,22.9,16.6
2010-05-02 0:00,54,0,15.9,23.5,19.7
2010-05-03 0:00,52,7.8,12.6,22.1,17.4
2010-05-04 0:00,52,0,10.3,20.2,15.3
2010-05-05 0:00,65,12.9,9,24.5,16.8
2010-05-06 0:00,54,0,3.5,12.7,8.1
2010-05-07 0:00,61,24.6,2.1,11.4,6.8
2010-05-08 0:00,93,3.8,0.8,9.4,5.1
2010-05-09 0:00,56,0,-1,8,3.5
2010-05-10 0:00,35,0,-1.2,13,5.9
2010-05-11 0:00,61,3.3,-0.8,9,4.1
2010-05-12 0:00,56,0,0.8,12.6,6.7
2010-05-13 0:00,50,6.8,0.6,9.5,5.1
2010-05-14 0:00,56,0,6.8,19.3,13.1
2010-05-15 0:00,41,0,4,14.1,9.1
2010-05-16 0:00,33,0,3,19.8,11.4
2010-05-17 0:00,44,0,5.4,19.5,12.5
2010-05-18 0:00,52,0,6.3,18.9,12.6
2010-05-19 0:00,37,0,3.8,24,13.9
2010-05-20 0:00,39,0,9.9,27.8,18.9
2010-05-21 0:00,0,0,7.5,24,15.8
2010-05-22 0:00,41,2.1,13.7,17.2,15.5
2010-05-23 0:00,0,0,11.4,24.5,18
2010-05-24 0:00,43,0,9.5,27.8,18.7
2010-05-25 0:00,0,0,11.6,28.5,20.1
2010-05-26 0:00,0,0,14.5,29.8,22.2
2010-05-27 0:00,32,0,12.9,29.6,21.3
2010-05-28 0:00,0,0,11.8,27.4,19.6
2010-05-29 0:00,37,0,11.6,26.2,18.9
2010-05-30 0:00,37,0,9.4,29.5,19.5
2010-05-31 0:00,46,5,12.4,31.8,22.1
2010-06-01 0:00,0,0.8,15.4,,
2010-06-02 0:00,52,10.6,10.5,24.8,17.7
2010-06-03 0:00,0,19.6,12.7,20.4,16.6
2010-06-04 0:00,0,4,9.5,23.4,16.5
2010-06-05 0:00,39,4.3,13.7,23.2,18.5
2010-06-06 0:00,54,15.6,9.8,17,13.4
2010-06-07 0:00,46,0,6.7,18,12.4
2010-06-08 0:00,32,0,4,19.4,11.7
2010-06-09 0:00,44,19.3,11,16.7,13.9
2010-06-10 0:00,,6.6,12.1,19.2,15.7
2010-06-11 0:00,0,0,10.2,24.8,17.5
2010-06-12 0:00,0,3.6,15.3,23.2,19.3
2010-06-13 0:00,,0.3,15.3,19.1,17.2
2010-06-14 0:00,32,0,16.5,24.9,20.7
2010-06-15 0:00,37,0,13.8,23.3,18.6
2010-06-16 0:00,69,11.6,12.4,24.4,18.4
2010-06-17 0:00,46,0,12,23.7,17.9
2010-06-18 0:00,37,0,10.7,26.4,18.6
2010-06-19 0:00,39,0.5,18,28.3,23.2
2010-06-20 0:00,37,0,15.5,25,20.3
2010-06-21 0:00,0,0,13.1,26.4,19.8
2010-06-22 0:00,48,14.1,16.2,25.1,20.7
2010-06-23 0:00,0,0,14.9,,
2010-06-24 0:00,48,0.5,14.6,24,19.3
2010-06-25 0:00,35,0,11.8,23.7,17.8
2010-06-26 0:00,35,5,15.7,24.8,20.3
2010-06-27 0:00,32,14.3,14.9,26.1,20.5
2010-06-28 0:00,52,0,13.8,27.4,20.6
2010-06-29 0:00,50,0,8.3,17.4,12.9
2010-06-30 0:00,46,0,7.4,18.7,13.1
2010-07-01 0:00,43,0,7.6,21.2,14.4
2010-07-02 0:00,0,0,5.8,23.9,14.9
2010-07-03 0:00,43,0,11,28.5,19.8
2010-07-04 0:00,39,0,14.1,30.5,22.3
2010-07-05 0:00,41,0,19.4,33.2,26.3
2010-07-06 0:00,39,0,19.9,32.3,26.1
2010-07-07 0:00,0,0,18.2,32.7,25.5
2010-07-08 0:00,32,0,18.3,33.5,25.9
2010-07-09 0:00,33,23.4,15.3,25.6,20.5
2010-07-10 0:00,39,0,12.4,26.7,19.6
2010-07-11 0:00,59,2.3,12.4,28.3,20.4
